t,solar,wind,year
442,0.719,0.491,2000
443,0.637,0.466,2000
444,0.438,0.395,2000
445,0.057,0.328,2000
446,0,0.36,2000
447,0,0.374,2000
448,0,0.285,2000
449,0,0.197,2000
450,0,0.105,2000
451,0,0.068,2000
452,0,0.05,2000
453,0,0.045,2000
454,0,0.052,2000
455,0,0.058,2000
456,0,0.063,2000
457,0,0.067,2000
458,0.318,0.06,2000
459,0.617,0.048,2000
460,0.764,0.082,2000
461,0.799,0.083,2000
462,0.797,0.075,2000
463,0.78,0.058,2000
464,0.768,0.041,2000
465,0.757,0.03,2000
466,0.724,0.028,2000
467,0.644,0.034,2000
468,0.45,0.042,2000
469,0.064,0.064,2000
470,0,0.103,2000
471,0,0.107,2000
472,0,0.084,2000
473,0,0.052,2000
474,0,0.024,2000
475,0,0.006,2000
476,0,0.001,2000
477,0,0.001,2000
478,0,0.004,2000
479,0,0.011,2000
480,0,0.013,2000
481,0,0.01,2000
482,0.384,0.006,2000
483,0.682,0.002,2000
484,0.775,0.005,2000
485,0.804,0.011,2000
486,0.801,0.028,2000
487,0.784,0.054,2000
488,0.772,0.075,2000
489,0.762,0.089,2000
490,0.731,0.103,2000
491,0.654,0.12,2000
492,0.466,0.131,2000
493,0.071,0.169,2000
494,0,0.228,2000
495,0,0.208,2000
496,0,0.135,2000
497,0,0.058,2000
498,0,0.026,2000
499,0,0.023,2000
500,0,0.047,2000
501,0,0.083,2000
502,0,0.093,2000
503,0,0.085,2000
504,0,0.075,2000
505,0,0.065,2000
506,0.433,0.06,2000
507,0.674,0.082,2000
508,0.771,0.142,2000
509,0.812,0.163,2000
510,0.8,0.175,2000
511,0.794,0.172,2000
512,0.782,0.157,2000
513,0.772,0.135,2000
514,0.743,0.126,2000
515,0.669,0.13,2000
516,0.486,0.134,2000
517,0.074,0.154,2000
518,0,0.186,2000
519,0,0.166,2000
520,0,0.119,2000
521,0,0.076,2000
522,0,0.05,2000
523,0,0.042,2000
524,0,0.061,2000
525,0,0.095,2000
526,0,0.103,2000
